,education-num,capital-gain,capital-loss,age-range_encoded,workclass_encoded,occupation_encoded,relationship_encoded,race_encoded,sex_encoded,singleormarried_encoded,working-hours-range_encoded,unitedstateorothers_encoded,income-per-year_encoded
0,13,2174,0,1,5,0,1,4,1,1,1,1,0
1,13,0,0,3,4,3,0,4,1,0,3,1,0
2,9,0,0,1,2,5,1,4,1,1,1,1,0
3,7,0,0,3,2,5,0,2,1,0,1,1,0
4,13,0,0,0,2,9,5,2,0,0,1,0,0
5,14,0,0,1,2,3,5,4,0,0,1,1,0
6,5,0,0,2,2,7,1,2,0,0,3,0,0
7,9,0,0,3,4,3,0,4,1,0,1,1,1
8,14,14084,0,1,2,9,1,4,0,1,1,1,1
9,13,5178,0,2,2,3,0,4,1,0,1,1,1
10,10,0,0,1,2,3,0,2,1,0,4,1,1
11,13,0,0,1,5,9,0,1,1,0,1,0,1
12,13,0,0,0,2,0,3,4,0,1,0,1,0
13,12,0,0,1,2,11,1,2,1,1,1,1,0
15,4,0,0,1,2,13,0,0,1,0,1,0,0
16,9,0,0,0,4,4,3,4,1,1,0,1,0
17,9,0,0,1,2,6,4,4,1,1,1,1,0
18,7,0,0,1,2,11,0,4,1,0,1,1,0
19,14,0,0,2,4,3,4,4,0,1,1,1,1
20,16,0,0,2,2,9,0,4,1,0,2,1,1
21,9,0,0,3,2,7,4,2,0,1,0,1,0
22,5,0,0,1,0,4,0,2,1,0,1,1,0
23,7,0,2042,2,2,13,0,4,1,0,1,1,0
24,9,0,0,3,2,12,4,4,0,1,1,1,0
25,13,0,0,3,1,12,0,4,1,0,1,1,1
26,9,0,0,6,2,2,3,4,1,1,1,1,0
28,9,0,0,1,2,3,1,4,1,1,4,1,0
29,9,0,0,2,2,2,0,4,1,0,1,1,0
30,12,0,0,0,1,10,1,4,1,1,1,1,0
31,10,0,0,0,2,11,3,2,1,1,1,1,0
32,13,0,1408,2,2,3,3,4,1,1,1,1,0
33,10,0,0,1,0,0,3,4,1,0,1,1,0
34,10,0,0,0,5,7,0,2,1,0,3,1,0
35,7,0,0,2,2,6,4,4,1,1,1,0,0
36,10,0,0,0,2,6,3,4,1,1,1,1,0
37,9,0,0,6,2,0,5,4,0,0,0,1,0
39,12,0,0,2,4,9,0,4,1,0,1,1,0
40,5,0,0,1,2,6,0,4,1,0,1,1,0
41,13,0,0,3,4,9,0,4,1,0,1,1,0
42,13,0,0,0,2,12,0,4,1,0,1,1,0
43,9,0,0,2,2,0,4,4,0,1,1,1,0
44,9,0,0,0,2,5,1,4,1,1,0,1,0
45,13,0,0,3,0,9,0,2,1,0,1,1,1
46,9,0,0,3,2,6,0,4,1,0,0,1,0
47,14,0,0,2,2,3,4,4,0,1,1,1,0
48,11,0,0,2,5,2,0,4,1,0,1,1,0
49,11,0,0,0,2,9,1,4,1,1,1,1,0
50,10,0,0,0,2,3,5,3,0,0,1,1,0
52,15,0,1902,2,2,9,5,4,0,0,2,0,1
53,13,0,0,3,0,3,1,4,1,1,1,1,1
54,9,0,0,2,3,3,1,4,1,1,2,1,0
55,10,0,0,2,2,12,0,4,1,0,1,1,1
56,3,0,0,2,2,6,0,4,1,0,1,0,0
57,11,0,0,1,2,7,0,4,1,0,1,0,0
58,9,0,0,2,2,0,0,4,1,0,1,1,0
59,9,5013,0,1,2,6,0,4,1,0,1,1,0
60,13,2407,0,1,2,11,0,4,1,0,1,1,0
62,9,0,0,2,2,13,0,4,1,0,1,1,0
63,16,0,0,2,2,9,0,4,1,0,1,1,1
64,10,0,0,0,2,12,1,4,1,1,1,1,0
65,9,0,0,1,2,2,0,4,1,0,1,1,0
66,10,0,0,0,2,0,1,4,0,1,1,1,0
67,9,0,0,3,2,0,5,4,0,0,1,1,1
68,10,0,0,2,3,3,0,4,1,0,1,1,1
70,10,0,0,6,2,9,3,4,1,1,0,1,0
71,13,0,0,1,2,11,3,2,0,1,1,1,0
72,13,0,0,0,4,11,0,4,1,0,2,1,1
73,10,0,0,0,2,6,1,4,1,1,1,1,0
74,10,0,0,5,2,9,2,4,1,0,0,1,0
75,9,0,0,0,2,7,3,4,1,1,1,0,0
76,12,0,0,2,2,0,0,4,1,0,1,1,0
78,7,0,0,6,2,7,3,4,0,1,0,1,0
79,4,0,0,1,1,4,0,4,1,0,1,1,0
80,9,0,0,6,2,11,1,4,1,1,0,1,0
81,13,0,0,3,2,7,0,4,1,0,1,0,0
82,9,0,0,2,2,7,5,4,0,0,1,1,0
83,9,0,0,3,2,11,0,4,1,0,1,1,0
84,9,14344,0,2,2,2,1,4,0,1,1,1,1
85,9,0,0,3,2,11,3,4,0,1,0,1,0
86,9,0,0,2,1,10,0,4,1,0,1,1,1
87,14,0,0,1,2,9,0,4,1,0,1,1,0
88,5,0,0,1,2,11,1,4,1,1,1,1,0
89,16,0,0,2,0,9,1,4,0,1,1,1,1
90,11,0,0,3,2,9,0,4,1,0,1,1,0
91,10,0,0,1,2,2,4,4,0,1,1,1,0
92,10,0,0,0,2,6,4,2,0,1,0,1,0
94,13,0,0,1,1,10,0,4,1,0,1,1,1
95,10,0,0,0,1,5,1,4,1,1,1,1,0
96,16,0,1902,2,4,9,0,4,1,0,2,1,1
97,10,0,0,1,2,11,0,4,1,0,1,1,1
98,12,0,0,2,2,3,4,4,0,1,1,0,0
99,9,0,0,1,0,7,3,2,1,1,1,1,0
100,14,0,0,5,2,3,0,4,1,0,1,1,1
101,13,15024,0,2,2,3,0,4,1,0,2,1,1
102,14,0,0,2,4,9,1,4,0,1,1,1,0
103,10,0,0,0,2,12,3,4,0,1,1,1,0
104,9,0,0,0,2,2,1,4,1,1,1,1,0
105,9,7688,0,1,3,2,0,4,1,0,1,1,1
107,7,0,0,1,2,5,3,4,1,1,1,1,0
108,9,0,0,1,1,0,1,4,0,1,1,1,0
109,9,0,0,2,2,5,0,4,1,0,1,1,0
110,13,0,0,0,2,11,2,4,1,1,1,1,0
111,15,0,0,1,2,9,0,4,1,0,1,1,1
112,9,0,1887,3,4,7,0,4,1,0,1,0,1
113,10,4064,0,0,2,11,5,4,0,0,0,1,0
114,9,0,0,1,2,6,3,4,0,1,1,1,0
115,5,0,0,3,2,5,0,4,1,0,1,1,0
116,10,0,0,3,3,11,0,4,1,0,1,1,0
117,11,0,0,2,1,2,0,2,1,0,1,1,1
118,10,0,0,3,2,11,0,4,1,0,1,1,0
119,9,0,0,0,2,2,1,4,1,1,1,1,0
120,10,0,0,0,2,7,3,4,0,1,1,1,0
121,13,0,0,2,2,3,0,4,1,0,2,1,0
122,13,0,0,1,2,3,3,2,1,1,1,0,0
123,13,0,0,0,5,9,0,4,1,0,1,1,1
124,10,0,0,6,2,7,3,2,1,1,0,1,0
125,13,0,0,2,2,3,5,4,0,0,1,1,1
126,10,0,1719,0,2,0,3,4,0,1,0,1,0
127,12,0,0,1,2,0,0,4,1,0,1,1,1
129,10,0,0,1,2,2,1,4,1,1,1,1,0
130,12,0,0,0,2,11,1,4,0,1,2,1,0
131,9,0,1762,0,2,7,1,4,0,1,1,1,0
132,9,4386,0,1,4,2,0,4,1,0,0,1,0
133,13,0,0,1,2,11,0,4,1,0,1,1,0
134,12,0,0,2,2,12,1,2,0,1,0,1,0
135,14,0,0,1,0,9,0,4,1,0,1,0,1
